lng,lat
30.388968,-97.394298
29.270479,-98.000179
31.994174,-97.179815
29.285146,-98.972804
30.962034,-96.854515
30.046247,-98.264649
30.060365,-97.458376
31.151233,-97.408987
29.365152,-98.640264
29.868850,-97.175117
30.851139,-97.268743
31.461535,-95.477234
29.713499,-96.909615
28.026730,-99.113891
31.480937,-98.405813
30.083019,-98.021361
31.002534,-96.799957
32.013678,-98.382518
30.364105,-96.410911
31.152389,-96.268399
30.736846,-97.198932
29.730897,-97.320286
31.396577,-98.115920
31.405966,-97.837801
30.498720,-98.281351
31.973178,-98.046091
30.828792,-96.062169
29.592294,-96.737946
31.892474,-98.372360
31.702415,-97.969826
30.767795,-96.559848
30.028991,-98.195341
31.118667,-96.522928
29.930848,-99.239820
29.459776,-97.910346
32.235326,-98.880553
29.942326,-97.331272
31.761596,-97.516394
29.034312,-97.728770
28.872951,-98.793397
30.863349,-98.483478
29.113842,-97.145555
29.049087,-97.436548
29.262737,-99.267768
29.816387,-97.657967
31.233335,-98.656699
29.088664,-98.809092
32.356014,-98.642518
29.699733,-98.592794
30.722578,-96.764119
27.910188,-98.375277
32.257384,-97.704735
30.286571,-97.345534
31.458652,-96.933882
31.539123,-97.219325
30.990536,-96.572476
29.266470,-100.290486
31.741075,-98.733026
31.431098,-99.081109
31.082227,-97.638154
31.016641,-96.613824
29.299407,-97.593245
29.359293,-97.287718
29.684483,-97.444949
31.499039,-97.377869
31.516301,-97.797285
31.373419,-98.061685
29.291094,-95.696044
28.001436,-97.016030
29.073270,-97.873890
30.464710,-98.952682
30.094576,-97.252004
30.092419,-96.829035
30.907722,-97.342764
30.704397,-97.997099
30.280447,-97.707280
29.770481,-98.934863
31.128230,-95.875336
29.466333,-97.517711
29.367882,-97.498013
31.180611,-98.356069
29.303281,-98.317280
30.030123,-97.731678
31.160217,-97.914395
30.695243,-98.102720
30.705735,-96.899630
29.628438,-98.439453
30.037740,-98.955888
29.502499,-97.389356
29.143918,-97.984441
29.491924,-97.595920
29.318347,-96.126426
30.218044,-98.768522
30.290791,-99.044256
30.921462,-97.913100
32.475205,-98.827698
31.469894,-97.188999
31.568102,-97.652382
30.058861,-98.120078
32.170870,-97.500690
31.282728,-97.471709
30.238481,-97.694562
30.459252,-96.994345
30.521283,-97.276736
30.525398,-99.151986
29.702492,-96.473613
31.772526,-98.290464
29.890169,-97.317124
29.728761,-99.127914
30.326452,-98.114098
30.260563,-98.435505
30.182621,-98.013384
29.512183,-96.896792
30.036294,-99.706871
30.384168,-98.813253
30.042833,-97.031154
32.253441,-98.055076
28.565849,-96.299344
29.344828,-98.315000
30.246345,-97.170570
30.949538,-97.495630
29.763546,-99.435875
29.549803,-97.634909
29.176609,-97.631281
29.786300,-98.381596
29.151324,-100.351338
31.259363,-98.362768
31.788388,-98.766650
30.252972,-98.029075
29.617828,-96.707596
28.637510,-98.231551
30.805004,-97.338634
30.864084,-98.020194
30.995171,-96.290576
29.867364,-98.914783
31.002359,-96.154151
29.563687,-95.920519
31.239419,-96.732055
29.788415,-97.770697
29.133260,-97.627316
30.809881,-98.513700
31.785170,-97.749387
30.022665,-97.660789
28.663968,-97.984722
29.499724,-97.904883
30.500954,-98.927198
31.769854,-98.073106
29.837556,-99.884454
29.900035,-97.734794
30.514631,-95.038235
30.869703,-97.481477
31.319442,-99.670025
28.716139,-98.303683
30.778184,-97.797395
30.206712,-98.733016
28.541841,-98.766492
29.804966,-98.689672
29.662403,-98.497572
31.072830,-98.372732
31.429207,-97.047228
29.895251,-98.688783
28.536850,-99.130255
31.786679,-99.039413
30.352456,-98.547391
31.500747,-100.528739
30.908574,-96.716342
31.427952,-97.442485
28.895153,-99.940066
30.345786,-97.528573
29.802585,-98.722777
29.517168,-96.641525
31.062697,-96.993421
31.190118,-95.153406
30.830540,-98.305104
29.181366,-96.338821
30.742159,-98.726762
30.259837,-99.322803
29.309074,-96.963121
29.145742,-97.395287
29.980860,-97.387445
28.492736,-97.076534
30.852606,-98.040535
30.062139,-96.541989
30.977859,-100.124969
29.295277,-98.116241
30.176913,-97.350921
32.026070,-99.188870
30.187776,-97.844640
31.813929,-99.147124
30.992669,-99.656898
29.595570,-97.621021
31.387892,-97.295971
31.482537,-99.107414
31.207536,-97.853327
28.695284,-96.933098
29.776064,-100.235778
29.612703,-98.164034
30.165604,-99.929007
31.109568,-97.878326
32.963450,-97.439353
30.519252,-95.422793
30.478205,-96.951843
29.515664,-98.491105
30.567965,-96.337662
28.234342,-98.168215
29.145821,-97.556404
30.400194,-97.907697
31.999109,-96.628128
26.934075,-97.522258
30.451665,-98.129430
30.466215,-99.178862
32.085431,-96.009066
30.068832,-98.257780
30.685246,-97.473823
31.060349,-98.849174
28.342554,-98.356827
30.140621,-97.532712
30.263274,-96.562299
31.320221,-98.672435
29.254846,-95.679421
29.470933,-98.223163
28.222647,-96.818851
30.384768,-96.379746
29.836250,-98.080970
29.015910,-97.917869
30.529439,-96.653969
28.928307,-99.523020
30.252863,-96.694187
30.183072,-96.055881
30.445143,-98.305532
27.663613,-96.891884
31.300892,-98.066989
28.801352,-97.767146
29.366227,-97.521745
29.196934,-98.590456
31.788656,-97.627269
30.431961,-97.261155
30.059306,-98.465114
29.488146,-97.535502
31.497013,-99.014504
31.075908,-99.924112
30.401091,-98.275011
29.748033,-98.607757
29.688420,-98.193670
30.381418,-99.666277
29.028375,-98.393286
30.818176,-97.215442
29.844422,-98.051833
32.005278,-97.652669
30.500415,-98.480742
29.953759,-97.060665
31.491676,-96.942359
29.878422,-98.378936
30.548220,-97.594643
29.566059,-97.733530
29.817943,-96.846109
28.507038,-99.059381
29.011969,-97.583813
29.629269,-97.675330
30.584205,-98.466362
29.881883,-95.249382
32.415467,-97.329240
30.419841,-96.753539
31.256652,-96.422220
30.330162,-97.743629
29.389804,-96.612762
31.106331,-99.971646
31.241773,-97.478997
30.488754,-96.776951
30.126635,-99.933604
29.784049,-97.769624
29.445390,-98.581254
32.275021,-98.451292
30.525181,-97.809451
31.776978,-97.577034
31.376421,-97.450818
29.625622,-97.916212
30.907374,-97.815018
32.860613,-98.689207
28.169864,-97.758017
30.238744,-97.145344
31.448462,-97.621451
29.023591,-98.757514
29.616671,-97.678886
31.915854,-98.463044
29.661579,-98.745224
31.255080,-96.472680
30.324712,-98.235540
29.119087,-98.942945
31.630816,-97.777501
31.110370,-97.555318
30.549644,-98.066704
29.227764,-96.733474
29.512864,-99.145020
31.044960,-99.293005
28.688274,-96.721327
31.830416,-95.667481
29.910827,-97.349807
32.376874,-98.906083
32.499873,-97.555200
31.140546,-98.158660
31.677161,-98.614324
29.796748,-98.154301
30.127236,-97.704098
29.820936,-97.378083
31.517212,-99.199290
30.760840,-98.005415
30.612857,-97.668100
30.641842,-96.680992
30.408215,-96.506205
31.010264,-97.736840
29.705887,-97.365546
30.275121,-98.167096
28.705180,-99.366858
31.011788,-97.792649
29.624590,-97.493027
29.477537,-98.181601
31.410576,-96.322736
29.323374,-99.587970
29.572039,-97.065276
30.039571,-98.006249
28.039414,-96.088398
30.743979,-97.382355
29.305732,-96.117080
29.667539,-98.515038
29.155943,-97.314537
31.337044,-98.667225
30.562337,-95.428669
29.451668,-98.780459
30.910845,-96.048485
31.200831,-97.605529
30.609720,-98.424017
30.453859,-98.731678
30.318590,-95.184113
31.933083,-98.732858
30.997719,-98.809095
29.691898,-98.460309
29.017566,-98.813629
29.269448,-96.030921
30.623092,-97.907177
30.098023,-97.051858
31.134588,-97.061088
30.014284,-98.541380
30.683138,-96.936035
30.484253,-98.008652
30.267122,-99.093858
30.860283,-97.619838
29.188949,-97.114950
29.143047,-99.260358
31.138229,-97.938586
29.595760,-98.064172
30.905685,-96.258224
29.938114,-97.824176
32.693035,-97.649037
31.425459,-97.169510
31.503465,-96.540219
29.501173,-97.881311
30.342514,-97.074088
31.820207,-96.829614
31.525361,-96.837593
30.635406,-98.452326
31.149150,-97.742537
29.995807,-98.326409
30.301743,-97.830708
31.234722,-96.159884
31.155188,-98.286673
30.269089,-98.275933
30.357208,-99.548795
28.847161,-97.784941
30.513604,-96.669027
30.520381,-97.356857
29.959744,-97.388047
30.915051,-95.317753
31.474185,-97.907559
32.103492,-96.450917
30.255897,-98.835824
29.842450,-99.052358
30.452781,-97.155690
30.400053,-98.365641
31.575536,-97.247402
30.752833,-97.368762
29.247382,-95.943842
30.039351,-97.151140
31.431949,-96.615380
28.148507,-97.366115
29.752631,-99.750881
30.366074,-96.997529
29.351086,-97.872003
29.087458,-97.363369
29.615103,-97.633104
30.046822,-96.891416
30.244344,-97.171406
31.027386,-98.049199
28.672718,-96.938924
30.374355,-97.979230
31.289373,-98.345205
30.874151,-98.708698
28.954362,-96.940718
30.237610,-97.435121
30.339843,-96.956039
29.994058,-97.547369
29.850604,-97.623130
28.736990,-96.212729
32.168197,-98.156781
30.006503,-97.658020
32.166878,-99.069046
29.433985,-97.922297
30.709294,-98.112750
31.373127,-99.845120
29.801948,-97.010241
29.670086,-98.124613
31.125040,-96.945877
30.522420,-98.048822
31.216682,-97.198074
29.070394,-99.103005
30.379920,-97.156201
30.179544,-97.492698
30.985567,-96.955720
30.006393,-97.676204
30.387201,-97.229272
29.221305,-96.366718
28.940712,-98.075220
30.450134,-96.602230
30.629788,-97.579690
28.751271,-97.023364
30.232539,-99.307065
29.849939,-97.634263
30.727190,-97.110966
31.499709,-96.982210
31.101817,-98.219455
31.551408,-97.523207
30.249281,-96.332753
29.763023,-97.634484
30.339676,-98.366123
30.278229,-98.054345
29.526407,-97.711107
28.678992,-98.773069
29.242625,-99.480886
30.778567,-98.439741
31.677819,-98.129808
29.476989,-96.903891
30.670976,-98.651239
29.973704,-98.038004
30.287408,-97.019678
28.990765,-98.949759
28.851329,-97.806086
32.702928,-97.328629
29.598706,-97.635985
29.373789,-96.505965
31.441578,-97.389768
30.478760,-98.048503
29.924835,-98.678724
29.883113,-98.284923
28.889451,-97.484631
29.298661,-96.694405
30.891515,-97.583225
27.757618,-94.693495
29.777400,-98.509298
30.780846,-97.484293
29.650799,-96.017124
31.783305,-98.238665
31.194450,-96.947371
30.050484,-98.002100
30.725671,-95.957224
28.220009,-97.646422
31.255226,-97.907195
30.724356,-98.462284
31.293728,-97.848920
31.497818,-97.273150
30.016404,-97.047866
31.381804,-97.193845
29.815139,-98.480494
31.512048,-98.151522
30.285313,-96.896125
29.399811,-97.308352
30.924235,-97.787837
29.879029,-97.249492
30.477741,-95.522843
30.005397,-99.122167
29.382500,-97.115870
32.880025,-99.842681
31.374403,-99.028148
29.389249,-97.497893
30.770080,-100.446232
31.148383,-97.756098
29.155463,-98.664085
29.054518,-96.740607
31.720696,-96.722949
29.274052,-97.222483
30.317616,-98.509017
31.619271,-95.688128
31.118318,-98.441954
29.630237,-98.709311
30.294436,-97.619037
30.036050,-97.665566
30.808655,-99.803961
28.787665,-96.946336
29.739248,-96.983843
30.470932,-96.974388
30.993426,-96.987582
29.595479,-97.322958
28.626413,-97.417819
32.885679,-97.439701
30.346996,-98.286450
30.018771,-97.343471
32.228844,-97.576520
31.887893,-98.676665
30.918161,-96.485989
29.399353,-97.256749
29.557357,-96.198097
30.106795,-97.384551
30.762670,-97.501454
31.151369,-96.439206
29.790590,-99.692415
31.348406,-98.543655
30.771707,-96.836596
30.540139,-97.926295
29.577053,-99.623339
31.172189,-97.681178
29.199238,-99.865430
30.750736,-96.105579
31.642093,-99.430902
30.311473,-97.243765
29.031743,-97.545551
30.340173,-97.518694
31.334225,-97.245045
29.209688,-98.414050
32.268231,-96.342962
29.646503,-98.627878
32.274298,-98.307680
31.284849,-99.004142
29.584146,-98.247319
30.605470,-96.721434
30.994822,-98.022524
28.744320,-98.052108
31.367647,-95.829375
30.942408,-99.001930
31.056520,-98.235120
30.987203,-96.219134
31.161900,-96.652802
29.756037,-97.900269
29.779144,-98.436686
30.083318,-98.901113
30.715663,-97.704533
30.711243,-99.031517
30.265106,-96.417360
29.668772,-97.440354
30.696891,-98.342752
31.821860,-98.629799
29.701421,-97.366479
31.181436,-97.519792
30.797737,-99.808197
32.091547,-97.048333
31.013215,-98.507123
29.573777,-98.466661
30.094975,-98.290809
30.103215,-97.841748
31.340172,-96.417662
30.553962,-99.498617
27.967225,-97.748453
30.520355,-97.684760
30.170746,-98.050311
30.443506,-97.505203
30.491038,-98.630225
31.912317,-98.501912
30.244972,-97.240152
30.034152,-96.790635
28.747995,-97.024978
31.190846,-98.991318
29.130898,-97.991254
28.994383,-97.750620
30.270091,-97.518202
29.523919,-100.250668
29.602109,-97.395627
30.348366,-98.918425
28.881332,-97.554279
31.329486,-97.711802
30.046712,-98.685411
30.334670,-100.742036
30.760067,-98.448853
30.446800,-98.498795
29.707721,-95.940532
29.982385,-100.582273
31.626463,-96.994097
30.542485,-98.455759
30.785318,-97.108410
29.133862,-97.858664
30.808245,-98.478257
29.033079,-97.459237
31.820814,-96.247145
29.693192,-95.933969
28.876484,-96.093757
31.308150,-98.333438
30.461975,-97.624239
29.836960,-99.439150
29.495726,-97.045701
29.777229,-96.679545
29.955962,-96.357975
30.654980,-99.038718
30.844548,-98.651532
31.469953,-98.056394
30.007957,-98.325029
29.518475,-98.343742
30.949357,-97.975536
30.681907,-97.517501
28.811179,-97.191376
31.665901,-99.667490
32.220430,-97.516553
32.467866,-99.103272
27.873129,-96.943839
29.468231,-97.741485
31.108666,-97.592806
